,total,starttime,area_type,events,temperature,per_week_total,per_2weeks_total,per_30days_total,month,dayth,year,month_dayth,festival,isweekend
0,30,2014-01-01,0.0,rain or snow,18.983333333333327,0.0,0.0,0.0,1,1,2014,01-01,winter,0
1,8,2014-01-02,0.0,rain or snow,16.6875,0.0,0.0,0.0,1,2,2014,01-02,winter,0
2,1,2014-01-03,0.0,clear,-2.9,0.0,0.0,0.0,1,3,2014,01-03,winter,0
3,38,2014-01-04,0.0,rain or snow,29.89210526315789,0.0,0.0,0.0,1,4,2014,01-04,winter,1
4,8,2014-01-05,0.0,rain or snow,15.6625,0.0,0.0,0.0,1,5,2014,01-05,winter,1
5,1,2014-01-06,0.0,cloudy,-15.0,0.0,0.0,0.0,1,6,2014,01-06,winter,0
6,76,2014-01-09,0.0,not clear,17.982894736842105,0.0,0.0,0.0,1,9,2014,01-09,winter,0
7,71,2014-01-10,0.0,cloudy,34.405633802816894,162.0,0.0,0.0,1,10,2014,01-10,winter,0
8,153,2014-01-11,0.0,cloudy,34.32549019607844,203.0,0.0,0.0,1,11,2014,01-11,winter,1
9,198,2014-01-12,0.0,cloudy,37.867676767676755,348.0,0.0,0.0,1,12,2014,01-12,winter,1
10,255,2014-01-13,0.0,cloudy,37.91921568627451,545.0,0.0,0.0,1,13,2014,01-13,winter,0
11,232,2014-01-14,0.0,cloudy,29.4396551724138,762.0,0.0,0.0,1,14,2014,01-14,winter,0
12,188,2014-01-15,0.0,cloudy,16.62287234042553,986.0,0.0,0.0,1,15,2014,01-15,winter,0
13,171,2014-01-16,0.0,cloudy,29.26198830409357,1173.0,0.0,0.0,1,16,2014,01-16,winter,0
14,134,2014-01-17,0.0,cloudy,15.1,1268.0,1430.0,0.0,1,17,2014,01-17,winter,0
15,78,2014-01-18,0.0,rain or snow,16.30256410256411,1331.0,1534.0,0.0,1,18,2014,01-18,winter,1
16,112,2014-01-19,0.0,cloudy,31.050892857142852,1256.0,1604.0,0.0,1,19,2014,01-19,winter,1
17,151,2014-01-20,0.0,cloudy,28.39801324503312,1170.0,1715.0,0.0,1,20,2014,01-20,winter,0
18,72,2014-01-21,0.0,cloudy,5.9930555555555545,1066.0,1828.0,0.0,1,21,2014,01-21,winter,0
19,79,2014-01-22,0.0,rain or snow,7.732911392405063,906.0,1892.0,0.0,1,22,2014,01-22,winter,0
20,71,2014-01-23,0.0,cloudy,2.1225352112676057,797.0,1970.0,0.0,1,23,2014,01-23,winter,0
21,73,2014-01-24,0.0,cloudy,15.084931506849319,697.0,1965.0,0.0,1,24,2014,01-24,winter,0
22,80,2014-01-25,0.0,cloudy,14.60375,636.0,1967.0,0.0,1,25,2014,01-25,winter,1
23,78,2014-01-26,0.0,cloudy,25.624358974358977,638.0,1894.0,0.0,1,26,2014,01-26,winter,1
24,40,2014-01-27,0.0,cloudy,-3.46,604.0,1774.0,0.0,1,27,2014,01-27,winter,0
25,35,2014-01-28,0.0,clear,-1.7885714285714287,493.0,1559.0,0.0,1,28,2014,01-28,winter,0
26,119,2014-01-29,0.0,clear,15.60588235294118,456.0,1362.0,0.0,1,29,2014,01-29,winter,0
27,113,2014-01-30,0.0,cloudy,28.3929203539823,496.0,1293.0,0.0,1,30,2014,01-30,winter,0
28,149,2014-01-31,0.0,cloudy,20.82147651006711,538.0,1235.0,0.0,1,31,2014,01-31,winter,0
29,43,2014-02-01,0.0,rain or snow,28.01395348837209,614.0,1250.0,0.0,2,1,2014,02-01,winter,1
30,76,2014-02-02,0.0,cloudy,16.132894736842108,577.0,1215.0,2857.0,2,2,2014,02-02,winter,1
31,108,2014-02-03,0.0,cloudy,11.763888888888893,575.0,1179.0,2903.0,2,3,2014,02-03,winter,0
32,103,2014-02-04,0.0,cloudy,19.822330097087377,643.0,1136.0,3003.0,2,4,2014,02-04,winter,0
33,53,2014-02-05,0.0,rain or snow,17.920754716981133,711.0,1167.0,3105.0,2,5,2014,02-05,winter,0
34,58,2014-02-06,0.0,cloudy,2.7,645.0,1141.0,3120.0,2,6,2014,02-06,winter,0
35,61,2014-02-07,0.0,cloudy,5.196721311475412,590.0,1128.0,3170.0,2,7,2014,02-07,winter,0
36,55,2014-02-08,0.0,rain or snow,13.574545454545454,502.0,1116.0,3230.0,2,8,2014,02-08,winter,1
37,61,2014-02-09,0.0,cloudy,14.511475409836063,514.0,1091.0,3209.0,2,9,2014,02-09,winter,1
38,76,2014-02-10,0.0,clear,4.646052631578948,499.0,1074.0,3199.0,2,10,2014,02-10,winter,0
39,104,2014-02-11,0.0,clear,4.393269230769231,467.0,1110.0,3122.0,2,11,2014,02-11,winter,0
40,127,2014-02-12,0.0,cloudy,17.76220472440945,468.0,1179.0,3028.0,2,12,2014,02-12,winter,0
41,135,2014-02-13,0.0,cloudy,24.712592592592593,542.0,1187.0,2900.0,2,13,2014,02-13,winter,0
42,123,2014-02-14,0.0,cloudy,16.347154471544712,619.0,1209.0,2803.0,2,14,2014,02-14,winter,0
43,129,2014-02-15,0.0,cloudy,19.896899224806205,681.0,1183.0,2738.0,2,15,2014,02-15,winter,1
44,103,2014-02-16,0.0,cloudy,24.622330097087367,755.0,1269.0,2696.0,2,16,2014,02-16,winter,1
45,55,2014-02-17,0.0,rain or snow,23.96545454545453,797.0,1296.0,2665.0,2,17,2014,02-17,winter,0
46,112,2014-02-18,0.0,cloudy,38.37232142857143,776.0,1243.0,2642.0,2,18,2014,02-18,winter,0
47,179,2014-02-19,0.0,cloudy,37.055307262569826,784.0,1252.0,2642.0,2,19,2014,02-19,winter,0
48,83,2014-02-20,0.0,cloudy,38.6,836.0,1378.0,2670.0,2,20,2014,02-20,winter,0
49,102,2014-02-21,0.0,cloudy,30.788235294117648,784.0,1403.0,2681.0,2,21,2014,02-21,winter,0
