,total,starttime,area_type,events,temperature,per_week_total,per_2weeks_total,per_30days_total,year,month_dayth,festival,isweekend,dayth,month
0,35,2014-01-01,0.0,rain or snow,18.982857142857142,0,0,0,2014,01-01,winter,0,1,1
1,16,2014-01-02,0.0,rain or snow,16.8,0,0,0,2014,01-02,winter,0,2,1
2,1,2014-01-03,0.0,clear,-2.9,0,0,0,2014,01-03,winter,0,3,1
3,56,2014-01-04,0.0,rain or snow,29.698214285714286,0,0,0,2014,01-04,winter,1,4,1
4,9,2014-01-05,0.0,rain or snow,15.822222222222226,0,0,0,2014,01-05,winter,1,5,1
5,1,2014-01-06,0.0,cloudy,-15.0,0,0,0,2014,01-06,winter,0,6,1
6,112,2014-01-09,0.0,not clear,18.416071428571428,0,0,0,2014,01-09,winter,0,9,1
7,109,2014-01-10,0.0,cloudy,34.40733944954128,230,0,0,2014,01-10,winter,0,10,1
8,215,2014-01-11,0.0,cloudy,34.19255813953489,304,0,0,2014,01-11,winter,1,11,1
9,266,2014-01-12,0.0,cloudy,37.92406015037594,503,0,0,2014,01-12,winter,1,12,1
10,350,2014-01-13,0.0,cloudy,37.7882857142857,768,0,0,2014,01-13,winter,0,13,1
11,332,2014-01-14,0.0,cloudy,29.360542168674694,1062,0,0,2014,01-14,winter,0,14,1
12,248,2014-01-15,0.0,cloudy,16.674193548387095,1385,0,0,2014,01-15,winter,0,15,1
13,227,2014-01-16,0.0,cloudy,29.04229074889868,1632,0,0,2014,01-16,winter,0,16,1
14,176,2014-01-17,0.0,cloudy,15.098863636363635,1747,1977,0,2014,01-17,winter,0,17,1
15,111,2014-01-18,0.0,rain or snow,15.996396396396394,1814,2118,0,2014,01-18,winter,1,18,1
16,154,2014-01-19,0.0,cloudy,30.35,1710,2213,0,2014,01-19,winter,1,19,1
17,208,2014-01-20,0.0,cloudy,28.48317307692308,1598,2366,0,2014,01-20,winter,0,20,1
18,102,2014-01-21,0.0,cloudy,5.459803921568628,1456,2518,0,2014,01-21,winter,0,21,1
19,106,2014-01-22,0.0,rain or snow,8.030188679245283,1226,2611,0,2014,01-22,winter,0,22,1
20,101,2014-01-23,0.0,cloudy,1.8633663366336632,1084,2716,0,2014,01-23,winter,0,23,1
21,97,2014-01-24,0.0,cloudy,15.081443298969074,958,2705,0,2014,01-24,winter,0,24,1
22,114,2014-01-25,0.0,cloudy,14.953508771929824,879,2693,0,2014,01-25,winter,1,25,1
23,107,2014-01-26,0.0,cloudy,25.350467289719628,882,2592,0,2014,01-26,winter,1,26,1
24,52,2014-01-27,0.0,cloudy,-3.755769230769229,835,2433,0,2014,01-27,winter,0,27,1
25,47,2014-01-28,0.0,clear,-1.7382978723404252,679,2135,0,2014,01-28,winter,0,28,1
26,152,2014-01-29,0.0,clear,15.739473684210527,624,1850,0,2014,01-29,winter,0,29,1
27,154,2014-01-30,0.0,cloudy,28.17012987012988,670,1754,0,2014,01-30,winter,0,30,1
28,204,2014-01-31,0.0,cloudy,20.721568627450985,723,1681,0,2014,01-31,winter,0,31,1
29,65,2014-02-01,0.0,rain or snow,27.800000000000004,830,1709,0,2014,02-01,winter,1,1,2
30,103,2014-02-02,0.0,cloudy,15.815533980582526,781,1663,3927,2014,02-02,winter,1,2,2
31,142,2014-02-03,0.0,cloudy,12.185211267605634,777,1612,3995,2014,02-03,winter,0,3,2
32,140,2014-02-04,0.0,cloudy,19.978571428571428,867,1546,4121,2014,02-04,winter,0,4,2
33,69,2014-02-05,0.0,rain or snow,17.960869565217386,960,1584,4260,2014,02-05,winter,0,5,2
34,77,2014-02-06,0.0,cloudy,2.3337662337662337,877,1547,4273,2014,02-06,winter,0,6,2
35,80,2014-02-07,0.0,cloudy,5.446250000000001,800,1523,4341,2014,02-07,winter,0,7,2
36,77,2014-02-08,0.0,rain or snow,13.54025974025974,676,1506,4420,2014,02-08,winter,1,8,2
37,97,2014-02-09,0.0,cloudy,14.615463917525773,688,1469,4385,2014,02-09,winter,1,9,2
38,102,2014-02-10,0.0,clear,4.4784313725490215,682,1459,4373,2014,02-10,winter,0,10,2
39,137,2014-02-11,0.0,clear,4.308759124087591,642,1509,4260,2014,02-11,winter,0,11,2
40,165,2014-02-12,0.0,cloudy,17.83818181818182,639,1599,4131,2014,02-12,winter,0,12,2
41,181,2014-02-13,0.0,cloudy,24.891712707182325,735,1612,3946,2014,02-13,winter,0,13,2
42,157,2014-02-14,0.0,cloudy,16.20063694267516,839,1639,3795,2014,02-14,winter,0,14,2
43,183,2014-02-15,0.0,cloudy,19.835519125683067,916,1592,3704,2014,02-15,winter,1,15,2
44,157,2014-02-16,0.0,cloudy,24.54777070063694,1022,1710,3660,2014,02-16,winter,1,16,2
45,78,2014-02-17,0.0,rain or snow,24.0551282051282,1082,1764,3641,2014,02-17,winter,0,17,2
46,144,2014-02-18,0.0,cloudy,38.99722222222223,1058,1700,3608,2014,02-18,winter,0,18,2
47,262,2014-02-19,0.0,cloudy,36.91946564885495,1065,1704,3598,2014,02-19,winter,0,19,2
48,126,2014-02-20,0.0,cloudy,38.476190476190474,1162,1897,3652,2014,02-20,winter,0,20,2
49,144,2014-02-21,0.0,cloudy,30.554861111111112,1107,1946,3676,2014,02-21,winter,0,21,2
50,258,2014-02-22,0.0,cloudy,29.733720930232558,1094,2010,3714,2014,02-22,winter,1,22,2
51,214,2014-02-23,0.0,cloudy,23.11261682242991,1169,2191,3871,2014,02-23,winter,1,23,2
52,191,2014-02-24,0.0,cloudy,19.351832460732986,1226,2308,3988,2014,02-24,winter,0,24,2
53,187,2014-02-25,0.0,cloudy,15.363101604278073,1339,2397,4065,2014,02-25,winter,0,25,2
54,128,2014-02-26,0.0,cloudy,9.69375,1382,2447,4145,2014,02-26,winter,0,26,2
55,107,2014-02-27,0.0,cloudy,7.540186915887848,1248,2410,4221,2014,02-27,winter,0,27,2
56,169,2014-02-28,0.0,cloudy,22.236094674556213,1229,2336,4281,2014,02-28,winter,0,28,2
57,118,2014-03-01,0.0,cloudy,19.705084745762715,1254,2348,4298,2014,03-01,spring,1,1,3
58,87,2014-03-02,0.0,cloudy,9.01264367816092,1114,2283,4262,2014,03-02,spring,1,2,3
59,127,2014-03-03,0.0,cloudy,11.607874015748026,987,2213,4145,2014,03-03,spring,0,3,3
60,185,2014-03-04,0.0,cloudy,21.385405405405407,923,2262,4207,2014,03-04,spring,0,4,3
61,110,2014-03-05,0.0,cloudy,20.26818181818182,921,2303,4289,2014,03-05,spring,0,5,3
62,213,2014-03-06,0.0,cloudy,23.950234741784037,903,2151,4257,2014,03-06,spring,0,6,3
63,368,2014-03-07,0.0,cloudy,38.30733695652175,1009,2238,4330,2014,03-07,spring,0,7,3
64,236,2014-03-08,0.0,cloudy,27.0457627118644,1208,2462,4629,2014,03-08,spring,1,8,3
65,277,2014-03-09,0.0,cloudy,35.453068592057754,1326,2440,4788,2014,03-09,spring,1,9,3
66,578,2014-03-10,0.0,cloudy,47.32006920415225,1516,2503,4985,2014,03-10,spring,0,10,3
67,405,2014-03-11,0.0,cloudy,42.64814814814815,1967,2890,5486,2014,03-11,spring,0,11,3
68,107,2014-03-12,0.0,cloudy,25.032710280373827,2187,3108,5794,2014,03-12,spring,0,12,3
69,213,2014-03-13,0.0,cloudy,29.01971830985916,2184,3087,5799,2014,03-13,spring,0,13,3
70,487,2014-03-14,0.0,cloudy,45.110266940451744,2184,3193,5875,2014,03-14,spring,0,14,3
71,354,2014-03-15,0.0,cloudy,35.76723163841808,2303,3511,6197,2014,03-15,spring,1,15,3
72,198,2014-03-16,0.0,cloudy,22.5,2421,3747,6370,2014,03-16,spring,1,16,3
73,329,2014-03-17,0.0,cloudy,32.27537993920972,2342,3858,6411,2014,03-17,spring,0,17,3
74,500,2014-03-18,0.0,cloudy,43.3932,2093,4060,6557,2014,03-18,spring,0,18,3
75,237,2014-03-19,0.0,cloudy,38.595358649789034,2188,4375,6900,2014,03-19,spring,0,19,3
76,397,2014-03-20,0.0,cloudy,39.43123425692696,2318,4502,7059,2014,03-20,spring,0,20,3
77,594,2014-03-21,0.0,cloudy,48.215488215488215,2502,4686,7312,2014,03-21,spring,0,21,3
78,482,2014-03-22,0.0,cloudy,38.08755186721992,2609,4912,7644,2014,03-22,spring,1,22,3
79,268,2014-03-23,0.0,cloudy,27.49141791044776,2737,5158,8000,2014,03-23,spring,1,23,3
80,350,2014-03-24,0.0,cloudy,29.24142857142857,2807,5149,8124,2014,03-24,spring,0,24,3
81,250,2014-03-25,0.0,cloudy,25.7572,2828,4921,8216,2014,03-25,spring,0,25,3
82,370,2014-03-26,0.0,cloudy,32.483513513513515,2578,4766,8252,2014,03-26,spring,0,26,3
83,236,2014-03-27,0.0,rain or snow,42.93771186440678,2711,5029,8431,2014,03-27,spring,0,27,3
84,350,2014-03-28,0.0,cloudy,37.88485714285713,2550,5052,8480,2014,03-28,spring,0,28,3
85,474,2014-03-29,0.0,cloudy,36.5818565400844,2306,4915,8702,2014,03-29,spring,1,29,3
86,714,2014-03-30,0.0,cloudy,49.93991596638655,2298,5035,9069,2014,03-30,spring,1,30,3
87,693,2014-03-31,0.0,cloudy,59.710822510822496,2744,5551,9614,2014,03-31,spring,0,31,3
88,527,2014-04-01,0.0,cloudy,41.319165085389,3087,5915,10189,2014,04-01,spring,0,1,4
89,585,2014-04-02,0.0,cloudy,38.31435897435898,3364,5942,10629,2014,04-02,spring,0,2,4
90,261,2014-04-03,0.0,cloudy,36.96513409961686,3579,6290,11087,2014,04-03,spring,0,3,4
91,402,2014-04-04,0.0,cloudy,39.918905472636816,3604,6154,11163,2014,04-04,spring,0,4,4
92,674,2014-04-05,0.0,cloudy,45.26721068249258,3656,5962,11455,2014,04-05,spring,1,5,4
93,739,2014-04-06,0.0,cloudy,50.944248985115024,3856,6154,11916,2014,04-06,spring,1,6,4
94,629,2014-04-07,0.0,cloudy,47.55389507154213,3881,6625,12287,2014,04-07,spring,0,7,4
95,776,2014-04-08,0.0,cloudy,50.53801546391753,3817,6904,12680,2014,04-08,spring,0,8,4
96,1014,2014-04-09,0.0,cloudy,55.222879684418146,4066,7430,13179,2014,04-09,spring,0,9,4
97,884,2014-04-10,0.0,cloudy,58.8242081447964,4495,8074,13615,2014,04-10,spring,0,10,4
98,1058,2014-04-11,0.0,cloudy,61.45056710775047,5118,8722,14094,2014,04-11,spring,0,11,4
99,1253,2014-04-12,0.0,cloudy,72.2970470869912,5774,9430,15045,2014,04-12,spring,1,12,4
100,545,2014-04-13,0.0,cloudy,57.66275229357797,6353,10209,16085,2014,04-13,spring,1,13,4
101,246,2014-04-14,0.0,rain or snow,37.20650406504065,6159,10040,16143,2014,04-14,spring,0,14,4
102,324,2014-04-15,0.0,cloudy,34.10123456790123,5776,9593,16035,2014,04-15,spring,0,15,4
103,614,2014-04-16,0.0,cloudy,45.6285016286645,5324,9390,16161,2014,04-16,spring,0,16,4
104,870,2014-04-17,0.0,cloudy,54.54494252873564,4924,9419,16446,2014,04-17,spring,0,17,4
105,832,2014-04-18,0.0,cloudy,45.78605769230769,4910,10028,16816,2014,04-18,spring,0,18,4
106,937,2014-04-19,0.0,cloudy,57.33287086446104,4684,10458,17411,2014,04-19,spring,1,19,4
107,1047,2014-04-20,0.0,cloudy,71.66685768863421,4368,10721,17951,2014,04-20,spring,1,20,4
108,848,2014-04-21,0.0,cloudy,66.39457547169812,4870,11029,18404,2014,04-21,spring,0,21,4
109,871,2014-04-22,0.0,cloudy,48.28036739380022,5472,11248,18770,2014,04-22,spring,0,22,4
110,821,2014-04-23,0.0,cloudy,44.05943970767357,6019,11343,19373,2014,04-23,spring,0,23,4
111,844,2014-04-24,0.0,cloudy,56.573341232227484,6226,11150,19844,2014,04-24,spring,0,24,4
112,1165,2014-04-25,0.0,cloudy,61.637339055794,6200,11110,20438,2014,04-25,spring,0,25,4
113,963,2014-04-26,0.0,cloudy,46.50944963655243,6533,11217,21233,2014,04-26,spring,1,26,4
114,760,2014-04-27,0.0,cloudy,54.4071052631579,6559,10927,21960,2014,04-27,spring,1,27,4
115,412,2014-04-28,0.0,cloudy,51.536893203883494,6272,11142,22370,2014,04-28,spring,0,28,4
116,816,2014-04-29,0.0,cloudy,53.259436274509795,5836,11308,22308,2014,04-29,spring,0,29,4
117,882,2014-04-30,0.0,cloudy,48.26383219954649,5781,11800,22410,2014,04-30,spring,0,30,4
118,551,2014-05-01,0.0,rain or snow,46.08275862068965,5842,12068,22599,2014,05-01,spring,0,1,5
119,838,2014-05-02,0.0,cloudy,50.020047732696895,5549,11749,22623,2014,05-02,spring,0,2,5
120,1386,2014-05-03,0.0,cloudy,62.02893217893218,5222,11755,22876,2014,05-03,spring,1,3,5
121,817,2014-05-04,0.0,cloudy,52.66572827417382,5645,12204,24001,2014,05-04,spring,1,4,5
122,776,2014-05-05,0.0,cloudy,48.66585051546392,5702,11974,24416,2014,05-05,spring,0,5,5
123,889,2014-05-06,0.0,cloudy,55.1533183352081,6066,11902,24518,2014,05-06,spring,0,6,5
124,1125,2014-05-07,0.0,cloudy,59.5327111111111,6139,11920,24668,2014,05-07,spring,0,7,5
125,1352,2014-05-08,0.0,cloudy,80.53579881656805,6382,12224,25164,2014,05-08,spring,0,8,5
126,951,2014-05-09,0.0,cloudy,66.28916929547844,7183,12732,25740,2014,05-09,spring,0,9,5
127,1591,2014-05-10,0.0,cloudy,69.80703959773727,7296,12518,25677,2014,05-10,spring,1,10,5
128,1030,2014-05-11,0.0,cloudy,74.30339805825244,7501,13146,26384,2014,05-11,spring,1,11,5
129,1071,2014-05-12,0.0,cloudy,77.28954248366014,7714,13416,26356,2014,05-12,spring,0,12,5
130,979,2014-05-13,0.0,cloudy,59.383146067415716,8009,14075,26174,2014,05-13,spring,0,13,5
131,966,2014-05-14,0.0,cloudy,52.61376811594204,8099,14238,26608,2014,05-14,spring,0,14,5
132,646,2014-05-15,0.0,cloudy,47.32275541795666,7940,14322,27328,2014,05-15,spring,0,15,5
133,639,2014-05-16,0.0,cloudy,42.61784037558686,7234,14417,27650,2014,05-16,spring,0,16,5
134,1336,2014-05-17,0.0,cloudy,54.906287425149706,6922,14218,27675,2014,05-17,spring,1,17,5
135,1641,2014-05-18,0.0,cloudy,64.37806215722121,6667,14168,28141,2014,05-18,spring,1,18,5
136,966,2014-05-19,0.0,cloudy,65.17681159420289,7278,14992,28950,2014,05-19,spring,0,19,5
137,1402,2014-05-20,0.0,cloudy,76.26611982881596,7173,15182,28979,2014,05-20,spring,0,20,5
138,1562,2014-05-21,0.0,cloudy,78.07419974391804,7596,15695,29334,2014,05-21,spring,0,21,5
139,1363,2014-05-22,0.0,cloudy,62.754365370506235,8192,16132,30048,2014,05-22,spring,0,22,5
140,1426,2014-05-23,0.0,cloudy,61.01206171107995,8909,16143,30540,2014,05-23,spring,0,23,5
141,1354,2014-05-24,0.0,cloudy,66.91713441654358,9696,16618,31145,2014,05-24,spring,1,24,5
142,1527,2014-05-25,0.0,cloudy,76.47203667321547,9714,16381,31655,2014,05-25,spring,1,25,5
143,1285,2014-05-26,0.0,cloudy,80.80373540856031,9600,16878,32017,2014,05-26,spring,0,26,5
144,1074,2014-05-27,0.0,cloudy,74.63621973929236,9919,17092,32339,2014,05-27,spring,0,27,5
145,1256,2014-05-28,0.0,cloudy,61.212181528662434,9591,17187,32653,2014,05-28,spring,0,28,5
146,1445,2014-05-29,0.0,cloudy,66.38885813148788,9285,17477,33497,2014,05-29,spring,0,29,5
147,1609,2014-05-30,0.0,cloudy,70.8363579863269,9367,18276,34126,2014,05-30,spring,0,30,5
148,2088,2014-05-31,0.0,cloudy,80.51934865900381,9550,19246,34853,2014,05-31,spring,1,31,5
149,1778,2014-06-01,0.0,cloudy,82.40202474690662,10284,19998,36390,2014,06-01,summer,1,1,6
150,1438,2014-06-02,0.0,cloudy,77.89999999999998,10535,20135,37330,2014,06-02,summer,0,2,6
151,1733,2014-06-03,0.0,cloudy,74.93531448355455,10688,20607,37382,2014,06-03,summer,0,3,6
152,1040,2014-06-04,0.0,cloudy,62.48557692307693,11347,20938,38298,2014,06-04,summer,0,4,6
153,1792,2014-06-05,0.0,cloudy,68.03247767857142,11131,20416,38562,2014,06-05,summer,0,5,6
154,1904,2014-06-06,0.0,cloudy,72.65598739495798,11478,20845,39465,2014,06-06,summer,0,6,6
155,2144,2014-06-07,0.0,cloudy,77.78157649253731,11773,21323,40244,2014,06-07,summer,1,7,6
156,1557,2014-06-08,0.0,cloudy,67.49364161849711,11829,22113,41036,2014,06-08,summer,1,8,6
157,1441,2014-06-09,0.0,cloudy,65.48959056210964,11608,22143,41642,2014,06-09,summer,0,9,6
158,742,2014-06-10,0.0,rain or snow,59.382075471698116,11611,22299,41492,2014,06-10,summer,0,10,6
159,1253,2014-06-11,0.0,cloudy,62.70430965682362,10620,21967,41204,2014,06-11,summer,0,11,6
160,1539,2014-06-12,0.0,cloudy,71.81351526965562,10833,21964,41386,2014,06-12,summer,0,12,6
